Date,Closing Price
16/5/2019,25550
17/5/2019,25700
20/5/2019,26100
21/5/2019,26050
22/5/2019,26050
23/5/2019,26050
24/5/2019,25550
27/5/2019,25350
28/5/2019,25200
29/5/2019,25050
30/5/2019,25100
31/5/2019,24850
3/6/2019,24750
4/6/2019,24800
5/6/2019,24850
6/6/2019,24700
7/6/2019,25050
10/6/2019,25200
11/6/2019,25200
12/6/2019,24850
13/6/2019,24800
14/6/2019,24800
17/6/2019,24600
18/6/2019,24450
19/6/2019,24800
20/6/2019,25100
21/6/2019,25100
24/6/2019,24900
25/6/2019,24850
26/6/2019,24800
27/6/2019,24600
28/6/2019,24800
1/7/2019,25000
2/7/2019,24750
3/7/2019,24850
4/7/2019,25200
5/7/2019,25350
8/7/2019,25100
9/7/2019,25050
10/7/2019,24900
11/7/2019,25100
12/7/2019,25050
15/7/2019,25000
16/7/2019,25000
17/7/2019,25800
18/7/2019,25550
19/7/2019,25600
22/7/2019,25050
23/7/2019,25100
24/7/2019,24700
25/7/2019,24350
26/7/2019,24400
29/7/2019,24100
30/7/2019,23350
31/7/2019,23200
1/8/2019,23300
2/8/2019,23050
5/8/2019,22300
6/8/2019,21650
7/8/2019,21200
8/8/2019,21200
9/8/2019,22000
12/8/2019,22150
13/8/2019,21850
14/8/2019,21800
15/8/2019,21850
16/8/2019,22250
19/8/2019,22200
20/8/2019,22100
21/8/2019,22500
22/8/2019,22400
23/8/2019,22300
26/8/2019,21600
27/8/2019,21400
28/8/2019,21350
29/8/2019,21150
30/8/2019,21500
3/9/2019,21450
4/9/2019,21400
5/9/2019,21300
6/9/2019,21100
9/9/2019,20900
10/9/2019,20700
11/9/2019,20750
12/9/2019,20850
13/9/2019,21350
16/9/2019,21450
17/9/2019,21650
18/9/2019,21600
19/9/2019,21750
20/9/2019,21450
23/9/2019,21350
24/9/2019,21650
25/9/2019,21650
26/9/2019,22650
27/9/2019,23200
30/9/2019,23000
1/10/2019,23150
2/10/2019,23400
3/10/2019,23400
4/10/2019,21600
7/10/2019,21100
8/10/2019,21400
9/10/2019,21300
10/10/2019,21300
11/10/2019,21300
14/10/2019,21750
15/10/2019,21600
16/10/2019,21550
17/10/2019,21350
18/10/2019,21100
21/10/2019,20800
22/10/2019,20900
23/10/2019,20800
24/10/2019,21300
25/10/2019,21300
28/10/2019,21250
29/10/2019,21150
30/10/2019,21350
31/10/2019,21350
1/11/2019,21500
4/11/2019,21750
5/11/2019,21800
6/11/2019,21700
7/11/2019,22050
8/11/2019,22050
11/11/2019,21700
12/11/2019,21650
13/11/2019,21650
14/11/2019,21450
15/11/2019,21100
18/11/2019,21000
19/11/2019,21100
20/11/2019,20900
21/11/2019,20400
22/11/2019,20100
25/11/2019,20250
26/11/2019,20000
27/11/2019,19850
28/11/2019,19850
29/11/2019,19800
2/12/2019,19500
3/12/2019,19300
4/12/2019,19800
5/12/2019,19600
6/12/2019,19500
9/12/2019,19600
10/12/2019,19200
11/12/2019,19000
12/12/2019,19400
13/12/2019,19200
16/12/2019,19050
17/12/2019,18650
18/12/2019,18400
19/12/2019,18100
20/12/2019,18300
23/12/2019,18350
24/12/2019,18350
25/12/2019,18200
26/12/2019,18250
27/12/2019,18100
30/12/2019,18150
31/12/2019,18050
2/1/2020,18400
3/1/2020,18250
6/1/2020,18200
7/1/2020,18250
8/1/2020,17750
9/1/2020,17950
10/1/2020,18300
13/1/2020,18300
14/1/2020,18400
15/1/2020,18400
16/1/2020,19100
17/1/2020,19250
20/1/2020,19250
21/1/2020,19250
22/1/2020,19300
30/1/2020,18500
31/1/2020,17700
3/2/2020,17050
4/2/2020,17000
5/2/2020,16950
6/2/2020,17700
7/2/2020,17700
10/2/2020,17550
11/2/2020,17450
12/2/2020,17800
13/2/2020,17600
14/2/2020,17800
17/2/2020,17650
18/2/2020,17550
19/2/2020,17600
20/2/2020,17600
21/2/2020,17450
24/2/2020,16250
25/2/2020,16400
26/2/2020,16100
27/2/2020,16500
28/2/2020,15900
2/3/2020,15800
3/3/2020,15950
4/3/2020,16250
5/3/2020,16800
6/3/2020,16700
9/3/2020,15550
10/3/2020,15550
11/3/2020,14500
12/3/2020,13550
13/3/2020,13300
16/3/2020,13300
17/3/2020,14200
18/3/2020,13700
19/3/2020,13700
20/3/2020,13850
23/3/2020,12900
24/3/2020,12500
25/3/2020,13350
26/3/2020,12950
27/3/2020,12350
30/3/2020,11500
31/3/2020,11600
1/4/2020,12400
3/4/2020,13250
6/4/2020,14150
7/4/2020,14150
8/4/2020,14350
9/4/2020,13200
10/4/2020,13300
13/4/2020,13150
14/4/2020,13200
15/4/2020,13350
16/4/2020,13350
17/4/2020,13600
20/4/2020,13700
21/4/2020,12850
22/4/2020,13300
23/4/2020,13300
24/4/2020,13250
27/4/2020,13100
28/4/2020,12950
29/4/2020,13000
4/5/2020,12700
5/5/2020,12650
6/5/2020,12950
7/5/2020,13200
8/5/2020,13500
11/5/2020,14150
12/5/2020,14200
13/5/2020,14050
14/5/2020,14250
15/5/2020,13950
18/5/2020,14150
19/5/2020,14300
20/5/2020,14300
21/5/2020,14350
22/5/2020,14300
25/5/2020,14550
26/5/2020,15350
27/5/2020,14900
28/5/2020,14850
29/5/2020,14800
1/6/2020,15200
2/6/2020,15050
3/6/2020,15200
4/6/2020,15700
5/6/2020,15700
8/6/2020,16050
9/6/2020,15850
10/6/2020,16000
11/6/2020,14900
12/6/2020,15500
15/6/2020,14450
16/6/2020,15200
17/6/2020,15000
18/6/2020,15000
19/6/2020,15300
22/6/2020,15200
23/6/2020,16100
24/6/2020,15750
25/6/2020,15800
26/6/2020,15500
29/6/2020,14800
30/6/2020,14800
1/7/2020,15300
2/7/2020,15150
3/7/2020,15150
6/7/2020,15600
7/7/2020,15550
8/7/2020,15700
9/7/2020,15850
10/7/2020,15950
13/7/2020,15950
14/7/2020,16700
15/7/2020,16550
16/7/2020,16600
17/7/2020,16700
20/7/2020,15450
21/7/2020,15250
22/7/2020,15050
23/7/2020,14900
24/7/2020,14300
27/7/2020,13300
28/7/2020,14200
29/7/2020,13550
30/7/2020,13750
31/7/2020,13550
3/8/2020,14100
4/8/2020,14350
5/8/2020,14500
6/8/2020,14350
7/8/2020,14250
10/8/2020,14400
11/8/2020,14700
12/8/2020,14650
13/8/2020,14850
14/8/2020,14600
17/8/2020,14500
18/8/2020,14400
19/8/2020,14550
20/8/2020,14350
21/8/2020,14700
24/8/2020,15000
25/8/2020,15000
26/8/2020,15050
27/8/2020,15100
28/8/2020,15100
31/8/2020,14900
1/9/2020,15100
3/9/2020,15250
4/9/2020,15400
7/9/2020,15350
8/9/2020,15800
9/9/2020,15850
10/9/2020,15850
11/9/2020,15750
14/9/2020,15750
15/9/2020,15800
16/9/2020,15900
17/9/2020,16000
18/9/2020,16300
21/9/2020,16500
22/9/2020,16550
23/9/2020,16700
24/9/2020,16550
25/9/2020,16450
28/9/2020,16900
29/9/2020,16750
30/9/2020,16950
1/10/2020,17800
2/10/2020,17750
5/10/2020,18250
6/10/2020,18150
7/10/2020,17850
8/10/2020,17850
9/10/2020,18000
12/10/2020,17850
13/10/2020,17550
14/10/2020,18100
15/10/2020,18150
16/10/2020,18150
19/10/2020,18350
20/10/2020,18200
21/10/2020,17700
22/10/2020,18000
23/10/2020,17900
26/10/2020,17600
27/10/2020,17200
28/10/2020,16700
29/10/2020,17100
30/10/2020,17100
2/11/2020,17150
3/11/2020,17350
4/11/2020,17500
5/11/2020,17250
6/11/2020,17150
9/11/2020,17500
10/11/2020,17700
